iter	Passed	Remaining
0	135	4729
1	167	2853
2	197	2172
3	228	1828
4	261	1622
5	291	1459
6	322	1334
7	353	1238
8	369	1107
9	398	1037
10	428	974
11	458	917
12	488	864
13	518	814
14	555	778
15	595	743
16	626	699
17	659	659
18	691	619
19	722	578
20	763	545
21	794	505
22	824	466
23	850	425
24	882	388
25	912	351
26	934	311
27	967	276
28	1008	243
29	1038	207
30	1073	173
31	1114	139
32	1127	102
33	1144	67
34	1174	33
35	1205	0
